#
# 分類台語詞彙小辭典
# 七 連詞
#
tt 、
anni 按尓
boeh 要
m7 不
koh 復
mkoh 不復
mbat 不曾
mthang 不可
mnia 不但
puttan 不但
oh 嗬
phah 拍
phahpiann 拍拚
thai3 毋
lah 啦
kap 與
lin2 您
tioh8 着
teh 在
khah 較
ma7 嗎
kaki 家己
iau2 还
iauboe 还未
iaubo 还無
soochai 所在
chiah 才
eng5 閑
boeng 無閑
soah 煞
che7 多
chit 這
khiok 却
lian7 連
gina 囝仔
e7 會
esai 會使
etang 會動
ehiau 會曉
ehiautit 會曉得
simmih 什麼
anchoann 按怎
phainn2 歹
hophainn 好歹
tsjchhp 東西廿七八
ma5 嘛
makoh 嘛復
hit 那
chitlomih 這號物
chhoe7 尋
nakah 若到
ka 給
ka7 給
kah 到
kahna 到若
hong5 夆
soahsoahkhi 煞煞去
hiah 許
sangse 傸勢
joa7 偌
gau3 賢
hiapai 花斑
chheh 册
toahoo 大雨
tak 逐
